,Code,Year,govtExpend,privateShare,Entity,primaryEnrollment,pop
1056,MNG,1999,15.251560000000001,0.475989997386932,Mongolia,96.7416305541992,2376000.0
1057,MNG,2000,16.07477,0.9229000210762021,Mongolia,99.0232086181641,2397000.0
1058,MNG,2002,20.311510000000002,2.29257011413574,Mongolia,102.06104278564501,2443000.0
1059,MNG,2004,13.57351,2.9202899932861297,Mongolia,108.517822265625,2496000.0
1060,MNG,2007,13.28645,5.02921009063721,Mongolia,100.019233703613,2594000.0
1061,MNG,2009,14.511420000000001,5.27940988540649,Mongolia,114.485389709473,2674000.0
1062,MNG,2010,14.711139999999999,4.92981004714966,Mongolia,125.69669342041,2720000.0
1063,MNG,2011,12.15085,4.96990013122559,Mongolia,122.063842773438,2770000.0
1064,MNG,2012,13.35302,5.26689004898071,Mongolia,116.91766357421899,2825000.0
1065,MNG,2013,12.32158,5.37681007385254,Mongolia,108.92920684814501,2882000.0
1066,MNG,2014,12.07037,5.736159801483151,Mongolia,101.678428649902,2940000.0
1067,MAR,1991,19.892771,3.58644008636475,Morocco,63.7109298706055,25260000.0
1068,MAR,1993,20.464239000000003,3.6734299659729,Morocco,67.39028167724611,26155000.0
1069,MAR,1995,20.47271,3.68830990791321,Morocco,73.3309326171875,26994000.0
1070,MAR,1998,25.211531,4.15840005874634,Morocco,81.3216934204102,28110000.0
1071,MAR,1999,25.768470999999998,4.18225002288818,Morocco,86.74923706054692,28456000.0
1072,MAR,2008,17.47064,8.93558025360107,Morocco,107.227783203125,31537000.0
1073,MAR,2009,17.295289999999998,9.64754009246826,Morocco,108.15087127685499,31929000.0
1074,MOZ,2005,22.71818,2.39599990844727,Mozambique,96.10501098632808,20494000.0
1075,MOZ,2012,19.70182,1.5494799613952601,Mozambique,104.001586914063,24863000.0
1076,MOZ,2013,18.978089999999998,1.63862001895905,Mozambique,104.229873657227,25561000.0
1077,NAM,1999,23.04277,4.14306020736694,Namibia,114.954696655273,1764000.0
1078,NAM,2000,21.925060000000002,4.19712018966675,Namibia,114.352752685547,1795000.0
1079,NAM,2001,22.775709,4.19213008880615,Namibia,113.620742797852,1824000.0
1080,NAM,2002,21.836861,4.3023099899292,Namibia,113.271957397461,1852000.0
1081,NAM,2003,20.328211,3.86782002449036,Namibia,112.60823059081999,1879000.0
1082,NAM,2006,21.602989,4.08839988708496,Namibia,108.125633239746,1971000.0
1083,NAM,2008,24.86161,4.3190798759460405,Namibia,108.762351989746,2043000.0
1084,NAM,2010,26.12351,4.90462017059326,Namibia,107.66515350341801,2119000.0
1085,NPL,2001,21.6562,6.57220983505249,Nepal,113.071640014648,24347000.0
1086,NPL,2002,20.44405,6.9994001388549805,Nepal,118.072311401367,24726000.0
1087,NPL,2003,21.312651000000002,14.724729537963901,Nepal,115.61022186279301,25081000.0
1088,NPL,2005,22.294220000000003,15.221050262451199,Nepal,115.321571350098,25745000.0
1089,NPL,2007,21.146139,8.59846973419189,Nepal,128.13200378418,26383000.0
1090,NPL,2008,22.23003,10.2461099624634,Nepal,125.793426513672,26667000.0
1091,NPL,2010,16.032351000000002,13.154399871826199,Nepal,142.285446166992,27013000.0
1092,NPL,2011,17.983841,11.8844604492188,Nepal,145.40788269043,27041000.0
1093,NPL,2012,17.437079999999998,14.0334997177124,Nepal,142.64192199707,26989000.0
1094,NPL,2013,17.569639000000002,15.103569984436,Nepal,138.516540527344,26917000.0
1095,NPL,2014,18.28129,15.396880149841301,Nepal,135.233825683594,26906000.0
1096,NPL,2015,16.98966,15.447319984436,Nepal,135.433502197266,27015000.0
1097,NLD,1981,12.0679,68.3069305419922,Netherlands,99.2151870727539,14224000.0
1098,NLD,1982,11.40722,68.1355133056641,Netherlands,98.1384963989258,14295000.0
1099,NLD,1983,10.64282,67.989501953125,Netherlands,96.5481719970703,14365000.0
1100,NLD,1984,9.87185,68.1105804443359,Netherlands,95.2410202026367,14438000.0
1101,NLD,1985,10.50206,68.3749465942383,Netherlands,94.9568710327148,14514000.0
1102,NLD,1986,10.83492,68.4527587890625,Netherlands,99.54586791992192,14596000.0
1103,NLD,1987,11.29733,68.6459121704102,Netherlands,101.378616333008,14683000.0
1104,NLD,1988,10.55998,68.71311187744139,Netherlands,103.237106323242,14774000.0
1105,NLD,1990,10.985489999999999,68.78672027587889,Netherlands,103.74060821533199,14965000.0
1106,NLD,1991,11.070839999999999,68.73779296875,Netherlands,103.120819091797,15065000.0
1107,NLD,1993,9.666669800000001,68.60720062255861,Netherlands,97.6455535888672,15268000.0
1108,NLD,1994,9.56143,68.76833343505861,Netherlands,107.976287841797,15369000.0
1109,NLD,1995,9.6679497,68.6050567626953,Netherlands,107.905586242676,15468000.0
1110,NLD,1996,9.0089502,68.538932800293,Netherlands,107.954170227051,15563000.0
1111,NLD,2011,11.98119,0.289389997720718,Netherlands,108.860801696777,16738000.0
1112,NLD,2012,11.83227,0.317180007696152,Netherlands,107.57996368408199,16792000.0
1113,NLD,2013,12.30814,0.303299993276596,Netherlands,106.15519714355499,16844000.0
1114,NZL,1985,8.2009897,1.98702001571655,New Zealand,105.395927429199,3268000.0
1115,NZL,1986,8.100930199999999,2.14218997955322,New Zealand,105.04102325439501,3290000.0
1116,NZL,1987,8.8865299,2.1932799816131596,New Zealand,105.71057891845699,3311000.0
1117,NZL,1988,9.710220300000001,2.33195996284485,New Zealand,104.708221435547,3333000.0
1118,NZL,1989,10.14819,2.58398008346558,New Zealand,104.011512756348,3361000.0
1119,NZL,1994,14.092970000000001,2.4937698841095,New Zealand,99.9087295532227,3623000.0
1120,NZL,1995,14.014000000000001,2.4843900203704803,New Zealand,101.389106750488,3675000.0
1121,NZL,1996,16.11647,2.3065299987793,New Zealand,100.077339172363,3717000.0
1122,NZL,2004,17.02215,11.909810066223098,New Zealand,98.459228515625,4080000.0
1123,NZL,2005,16.27487,12.0500497817993,New Zealand,99.6289825439453,4135000.0
1124,NZL,2006,15.17903,12.1216602325439,New Zealand,100.037071228027,4186000.0
1125,NZL,2007,15.000279999999998,12.343879699707001,New Zealand,100.39227294921899,4233000.0
1126,NZL,2008,14.09215,12.3940095901489,New Zealand,100.731117248535,4278000.0
1127,NZL,2009,15.35943,12.368769645690902,New Zealand,100.868339538574,4323000.0
1128,NZL,2010,15.715879999999999,2.0844099521637,New Zealand,101.088653564453,4370000.0
1129,NZL,2011,15.81701,1.9755300283432,New Zealand,99.8152313232422,4419000.0
1130,NZL,2012,17.819941,1.87115001678467,New Zealand,98.574951171875,4468000.0
1131,NZL,2013,16.59321,1.8183599710464498,New Zealand,98.51785278320308,4519000.0
1132,NZL,2014,16.296801000000002,1.8125699758529699,New Zealand,98.6333389282227,4568000.0
1133,NER,1996,17.74954,3.31349992752075,Niger,29.0764007568359,9827000.0
1134,NER,1999,17.117809,3.9627699851989706,Niger,31.4088706970215,10930000.0
1135,NER,2000,18.783171,4.29881000518799,Niger,32.9406890869141,11332000.0
1136,NER,2001,16.595570000000002,4.43503999710083,Niger,35.9351387023926,11751000.0
1137,NER,2002,16.65247,3.75643992424011,Niger,40.1185188293457,12190000.0
1138,NER,2003,13.8455,3.7178499698638903,Niger,43.3010101318359,12648000.0
1139,NER,2006,16.883770000000002,3.98961997032166,Niger,49.5366897583008,14144000.0
1140,NER,2007,17.375971,3.8543701171875,Niger,52.029178619384794,14685000.0
1141,NER,2008,16.177329999999998,4.03090000152588,Niger,55.899131774902294,15251000.0
1142,NER,2009,18.912939,3.9279899597168,Niger,59.694129943847706,15843000.0
1143,NER,2010,18.104039999999998,3.83126997947693,Niger,63.3889083862305,16464000.0
1144,NER,2011,21.675810000000002,3.75093007087708,Niger,67.2723922729492,17115000.0
1145,NER,2012,19.19202,3.49405002593994,Niger,69.3842391967773,17795000.0
1146,NER,2013,18.084529999999997,3.4606099128723105,Niger,70.22579956054689,18504000.0
1147,NER,2014,21.661501,3.41388988494873,Niger,70.6004180908203,19240000.0
1148,NOR,1981,14.61961,0.580749988555908,Norway,99.4925689697266,4099000.0
1149,NOR,1982,14.66192,0.62747997045517,Norway,99.20398712158199,4112000.0
1150,NOR,1984,14.196110000000001,0.703580021858215,Norway,97.8613433837891,4138000.0
1151,NOR,1985,14.188479999999998,0.752629995346069,Norway,96.8979034423828,4153000.0
1152,NOR,1986,14.15717,0.842350006103516,Norway,96.9042510986328,4169000.0
1153,NOR,1987,14.388860000000001,0.894720017910004,Norway,97.5631484985352,4187000.0
1154,NOR,1988,13.30521,0.9601899981498722,Norway,98.2355117797852,4206000.0
1155,NOR,1989,14.016070000000001,1.06406998634338,Norway,99.2161407470703,4226000.0
1156,NOR,1990,14.021070000000002,1.1072100400924698,Norway,100.252731323242,4247000.0
1157,NOR,1991,13.846979999999999,1.16375005245209,Norway,100.424179077148,4269000.0
1158,NOR,1992,13.79062,1.2333199977874798,Norway,100.054161071777,4293000.0
1159,NOR,1993,15.88272,1.1845400333404499,Norway,99.05538940429692,4317000.0
1160,NOR,1994,16.49992,1.2814300060272201,Norway,98.7439117431641,4342000.0
1161,NOR,1995,16.890791,1.38411998748779,Norway,98.5094833374023,4367000.0
1162,NOR,1996,15.986939999999999,1.4553300142288201,Norway,98.59432983398442,4393000.0
1163,NOR,1998,15.53134,1.44826996326447,Norway,100.316947937012,4447000.0
1164,NOR,1999,15.12919,1.4618400335311899,Norway,100.82248687744101,4474000.0
1165,NOR,2000,15.772620000000002,1.50569999217987,Norway,100.922431945801,4499000.0
1166,NOR,2001,15.92199,1.58157002925873,Norway,100.93747711181601,4523000.0
1167,NOR,2002,16.258329,1.66167998313904,Norway,100.268272399902,4546000.0
1168,NOR,2003,15.68493,1.75697994232178,Norway,100.058052062988,4570000.0
1169,NOR,2004,16.4396,1.87812995910645,Norway,99.4308013916016,4598000.0
1170,NOR,2005,16.548379999999998,1.9357500076293899,Norway,98.5824737548828,4632000.0
1171,NOR,2007,15.99489,2.20408010482788,Norway,99.1732177734375,4719000.0
1172,NOR,2008,15.85855,2.24193000793457,Norway,99.3368072509766,4771000.0
1173,NOR,2009,15.64057,2.2618799209594704,Norway,99.1595916748047,4827000.0
1174,NOR,2010,15.227329999999998,2.3065600395202597,Norway,99.0077133178711,4886000.0
1175,NOR,2011,14.95735,2.36338996887207,Norway,99.27304077148442,4948000.0
1176,NOR,2012,17.429648999999998,2.4502100944519,Norway,99.8311614990234,5014000.0
1177,NOR,2013,17.268909,2.71956992149353,Norway,100.33358764648399,5079000.0
1178,NOR,2014,17.04335,2.85924005508423,Norway,100.142723083496,5142000.0
1179,OMN,1991,6.930739900000001,1.74873995780945,Oman,83.6526870727539,1894000.0
1180,OMN,1992,7.9864302,1.9115300178527799,Oman,85.38848876953129,1983000.0
1181,OMN,1993,7.649610000000001,2.09615993499756,Oman,86.31231689453129,2072000.0
1182,OMN,1994,7.756030099999999,2.35860991477966,Oman,86.1085968017578,2148000.0
1183,OMN,1995,8.004639599999999,2.76723003387451,Oman,86.36290740966801,2204000.0
1184,OMN,1996,8.0390196,3.11415004730225,Oman,88.25659942626949,2237000.0
1185,OMN,1997,9.125559800000001,3.6056499481201203,Oman,89.6772918701172,2250000.0
1186,OMN,1998,9.991800300000001,4.224979877471919,Oman,90.7818374633789,2252000.0
1187,OMN,1999,10.327860000000001,4.5240597724914595,Oman,92.37049102783199,2255000.0
1188,OMN,2000,8.983440400000001,4.51362991333008,Oman,93.3522796630859,2268000.0
1189,OMN,2001,10.58399,4.494629859924321,Oman,94.0181198120117,2295000.0
1190,OMN,2002,11.06248,4.14390993118286,Oman,93.21206665039058,2335000.0
1191,OMN,2003,10.038960000000001,4.03166007995605,Oman,91.2271270751953,2386000.0
1192,OMN,2009,10.94918,19.0748195648193,Oman,103.32373809814501,2876000.0
1193,OMN,2013,11.08018,17.1313991546631,Oman,110.942016601563,3765000.0
1194,PAK,2004,11.22935,35.961208343505895,Pakistan,83.2952423095703,156664992.0
1195,PAK,2005,13.777510000000001,35.7982215881348,Pakistan,88.12991333007808,160304000.0
1196,PAK,2006,15.2891,33.7087593078613,Pakistan,84.9767608642578,164023008.0
1197,PAK,2007,15.445520000000002,31.158269882202102,Pakistan,91.1839599609375,167808000.0
1198,PAK,2009,11.86443,30.912540435791,Pakistan,93.98731231689449,175526000.0
1199,PAK,2010,11.86466,30.7494106292725,Pakistan,95.7409820556641,179424992.0
1200,PAK,2011,10.924610000000001,32.28125,Pakistan,91.97470092773442,183340000.0
1201,PAK,2012,11.04063,33.6752700805664,Pakistan,91.41506958007808,187280000.0
1202,PAK,2013,11.51398,34.6871109008789,Pakistan,89.8149795532227,191260992.0
1203,PAK,2014,11.30066,37.3010406494141,Pakistan,93.5630722045898,195304992.0
1204,PAN,1995,18.197210000000002,9.492730140686039,Panama,99.4216690063477,2740000.0
1205,PAN,1996,18.154989,9.56336975097656,Panama,100.952011108398,2796000.0
1206,PAN,1999,18.97315,9.62012958526611,Panama,104.660919189453,2971000.0
1207,PAN,2000,19.83194,9.893659591674801,Panama,106.065528869629,3030000.0
1208,PAN,2001,16.639129999999998,10.0002698898315,Panama,107.41586303710899,3090000.0
1209,PAN,2002,16.9575,10.0013303756714,Panama,109.37393188476601,3149000.0
1210,PAN,2004,14.568270000000002,10.3737001419067,Panama,108.85945129394501,3269000.0
1211,PAN,2008,14.889829999999998,10.670689582824698,Panama,107.981689453125,3516000.0
1212,PAN,2011,13.01972,12.020520210266099,Panama,107.066879272461,3706000.0
1213,PER,2000,15.250370000000002,13.0081701278687,Peru,121.29989624023399,26460000.0
1214,PER,2001,14.79623,13.473349571228,Peru,120.89347076416,26799000.0
1215,PER,2002,14.57806,13.7414102554321,Peru,120.458152770996,27101000.0
1216,PER,2003,14.65831,14.391489982605,Peru,118.940986633301,27372000.0
1217,PER,2005,14.27852,16.3995990753174,Peru,117.47492980956999,27866000.0
1218,PER,2006,14.0353,17.5564002990723,Peru,116.80021667480499,28102000.0
1219,PER,2007,14.141770000000001,18.959810256958,Peru,116.516860961914,28333000.0
1220,PER,2008,14.53442,20.080059051513697,Peru,112.891441345215,28562000.0
1221,PER,2009,14.59631,21.092149734497102,Peru,111.104789733887,28793000.0
1222,PER,2010,13.555579999999999,22.065040588378896,Peru,110.36508178710899,29028000.0
1223,PER,2011,13.55255,23.526050567627,Peru,107.356719970703,29264000.0
1224,PER,2013,15.22388,26.125980377197298,Peru,103.10870361328101,29774000.0
1225,PER,2014,16.219891,27.1693000793457,Peru,101.42209625244101,30090000.0
1226,PHL,1995,15.24298,7.5372200012207005,Philippines,104.89881134033199,69784000.0
1227,PHL,1996,17.566570000000002,7.441289901733401,Philippines,108.58113861084,71402000.0
1228,PHL,1997,15.170129999999999,7.4964299201965305,Philippines,109.05525207519501,73031000.0
1229,PHL,1998,18.180989999999998,7.5996198654174805,Philippines,108.211471557617,74672000.0
1230,PHL,2000,15.206760000000001,7.2488298416137695,Philippines,109.387802124023,77992000.0
1231,PHL,2001,13.91591,7.2671999931335405,Philippines,108.68499755859399,79673000.0
1232,PHL,2002,14.068929999999998,7.09118986129761,Philippines,107.974281311035,81365000.0
1233,PHL,2003,14.380220000000001,7.05033016204834,Philippines,107.81934356689501,83052000.0
1234,PHL,2004,12.75085,7.25799989700317,Philippines,106.82253265380899,84711000.0
1235,PHL,2005,12.422360000000001,7.61535978317261,Philippines,105.988388061523,86326000.0
1236,PHL,2006,13.268529999999998,7.811089992523191,Philippines,104.031837463379,87889000.0
1237,PHL,2007,13.66702,7.97669982910156,Philippines,104.51915740966801,89405000.0
1238,PHL,2008,14.441989999999999,8.148220062255861,Philippines,106.445449829102,90902000.0
1239,PHL,2009,13.211160000000001,8.12570953369141,Philippines,108.874893188477,92414000.0
1240,POL,2001,11.831489999999999,0.8608800172805791,Poland,97.7967300415039,38530000.0
1241,POL,2002,11.889380000000001,1.2107800245285,Poland,97.4128570556641,38489000.0
1242,POL,2003,11.64438,1.2982599735259999,Poland,96.9461212158203,38442000.0
1243,POL,2004,12.286589999999999,1.4132499694824199,Poland,96.5772323608398,38400000.0
1244,POL,2005,12.22228,1.65174996852875,Poland,96.2523727416992,38369000.0
1245,POL,2006,12.665410000000001,1.85382997989655,Poland,96.4701919555664,38354000.0
